,Unnamed: 0,id,original_tweet,tweet,lat,lng,place,date,sentiment,cleaned_tweet,mentions
0,0,1470219245141172224,@melblawyer26 @GiselleWak Perhaps if you had studied medicine instead of law your comment would be better informed. #COVIDIOTS,perhaps studied medicine instead law comment would better informed covidiots,-27.6167,152.7667,Queensland,2021-12-13 13:29:18,0,perhaps studied medicine instead law comment would better informed,"{'@GiselleWak', '@melblawyer26'}"
1,1,1470230849996181504,"I'm at Essential Oils &amp; Wellness with Fiona in California Gully, VIC  https://t.co/TxvO3EqXjT",im essential oils amp wellness fiona california gully vic,-36.75,144.2667,Victoria,2021-12-13 14:15:24,0,essential wellness gully,set()
2,2,1470305021078081536,@susan_taylor07 Removing franking credits wasn't a scare campaign. It was a policy..a bloody good policy. As was reduction of negative gearing. As for Medicare..well the author obviously hasn't had to have an MRI recently or needs an op to fix her/his dodgy knees. The indue card .. wait and see.,removing franking credits wasnt scare campaign policya bloody good policy reduction negative gearing medicarewell author obviously hasnt mri recently needs op fix herhis dodgy knees indue card wait see,-27.6167,152.7667,Queensland,2021-12-13 19:10:08,0,removing franking wasnt scare campaign bloody good policy reduction negative gearing author obviously recently needs fix dodgy indue card wait see,{'@susan_taylor07'}
3,3,1470353065857351684,"@Hateonions1 Go to your apps &amp; click on the Service NSW, it should come up with an ""update now"" option - click yes, once it's done go back to Medicare Express, open up &amp; re-share the Covid vaccination. It should now appear as a tick on your check in. Fingers crossed.",go apps amp click service nsw come update option click yes done go back medicare express open amp reshare covid vaccination appear tick check fingers crossed,-27.6167,152.7667,Queensland,2021-12-13 22:21:03,0,go click service come update option click yes done go back express open reshare covid vaccination appear tick check crossed,{'@Hateonions1'}
4,4,1470359518949167106,@Alannahjoynes @DamoMK @OptusStadium You can link your Medicare account to one of the state check-in apps.  It's really not difficult to scan and show your phone.  All of this is to drive vaccine coverage in the long run to remove excuses from those who aren't medically exempt.,link medicare account one state checkin apps really difficult scan show phone drive vaccine coverage long run remove excuses arent medically exempt,-27.6167,152.7667,Queensland,2021-12-13 22:46:41,0,link account one state really difficult scan show phone drive vaccine coverage long run remove arent medically exempt,"{'@Alannahjoynes', '@DamoMK', '@OptusStadium'}"
5,5,1470362492417163268,@sittingwanderer @DamoMK @OptusStadium There's no style to follow. Every other state and territory are already plugged into Medicare ... Singapore don't have Medicare.,theres style follow every state territory already plugged medicare singapore dont medicare,-27.5667,151.95,Queensland,2021-12-13 22:58:30,0,theres style follow every state territory already plugged dont,"{'@DamoMK', '@sittingwanderer', '@OptusStadium'}"
6,6,1470391373564194818,@eccentrikhat I haven't made these decisions Society and medicine have over decades  They are over 90% in Australia and we no longer have to do invasive tests for Downs,havent made decisions society medicine decades australia longer invasive tests downs,-41.4419,147.145,Tasmania,2021-12-14 00:53:16,0,havent made society medicine longer invasive,{'@eccentrikhat'}
7,7,1470396823814742027,@eccentrikhat I didn't say that I said after decades in the 21st century society and medicine (or science) has made the decision which as a clinician I support,didnt say said decades century society medicine science made decision clinician suppo,-41.4419,147.145,Tasmania,2021-12-14 01:14:56,0,didnt say said century society medicine science made decision clinician,{'@eccentrikhat'}
8,8,1470508511029194754,"How pharmaceutical  companies control medical training. No training on natural medicines, diet or nutrition, just all man-made drugs. #medicine #coronavirus",pharmaceutical companies control medical training training natural medicines diet nutrition manmade drugs medicine coronavirus,-31.9522,115.8589,Western Australia,2021-12-14 08:38:44,0,pharmaceutical control medical training training natural diet nutrition medicine,set()
9,9,1470600733972209665,Just posted a photo @ Rella's Strength &amp; Wellness Hub  https://t.co/XVtR45WLnC,posted photo rellas strength amp wellness hub,-36.75,144.2667,Victoria,2021-12-14 14:45:12,1,posted photo strength wellness hub,set()
10,10,1470633058801893376,I love modern medicine. Relieved to have just received my booster #COVID19 #vaccination,love modern medicine relieved received booster vaccination,-32.9167,151.75,New South Wales,2021-12-14 16:53:38,1,love modern medicine relieved received booster vaccination,set()
11,11,1470672210167697409,"@Narty0071 Well, it looks like now all Australians who had AZ but no booster have no protection against Omicron no wonder scooter got to the front of the Queue, shit I dislike Sydney's PM",well looks like australians az booster protection omicron wonder scooter got front queue shit dislike sydneys pm,-16.9303,145.7703,Queensland,2021-12-14 19:29:13,0,well like booster protection omicron wonder scooter got front queue dislike,{'@Narty0071'}
12,12,1470702786899693571,This is the attitude I wish I saw more in medicine! 👍🏻😀,attitude wish saw medicine,-41.4419,147.145,Tasmania,2021-12-14 21:30:43,0,attitude wish saw medicine,set()
13,13,1470878644805378054,To be fair… excellent decision to make a long term commitment to telehealth within Medicare but cutting phone consultations out at this particular point in time is extraordinary,fair excellent decision make long term commitment telehealth within medicare cutting phone consultations paicular point time extraordinary,-27.5667,151.95,Queensland,2021-12-15 09:09:31,1,fair excellent decision make long term commitment within cutting phone point time extraordinary,set()
14,14,1470983183248224257,I have the green tick ✅- hooray! No hassles after December 17th I hope. Now to link mum’s vaccine proof to check in app 😬😷#Vaccination #COVID19Vaccine,green tick hooray hassles december hope link mums vaccine proof check app vaccination,-16.9303,145.7703,Queensland,2021-12-15 16:04:55,1,green tick hope link vaccine proof check vaccination,set()
15,15,1470994270228140036,Vaccines alone won't stop Omicron. So which COVID measures are in place in your state?  https://t.co/UYVF8FDCDW,vaccines alone wont stop omicron covid measures place state,-16.9303,145.7703,Queensland,2021-12-15 16:48:58,0,alone wont stop omicron covid place state,set()
16,16,1470994702140731394,"How effective are the Pfizer, Moderna and AstraZeneca COVID-19 vaccines?  https://t.co/qZnya68IGa",effective pfizer moderna astrazeneca covidvaccines,-16.9303,145.7703,Queensland,2021-12-15 16:50:41,0,effective,set()
17,17,1471011283411472385,"@myofoz @LennaLeprena @DaveTaylorNews @abcnews The anti-everythingers don't drive the economy, the vast majority do. If this Omicron situation derails, it will take the economy with it.",antieverythingers dont drive economy vast majority omicron situation derails take economy,-16.9303,145.7703,Queensland,2021-12-15 17:56:34,0,dont drive economy vast majority omicron situation take economy,"{'@myofoz', '@LennaLeprena', '@abcnews', '@DaveTaylorNews'}"
18,18,1471037146937004034,"One of the unexpected benefits of my  #AlexanderTechnique adoption is I can now take a refreshing power nap, on the floor on a yoga mat with two books for a pillow. Not quite what Alexander intended but suits me just fine 👍 #wellness",one unexpected benefits alexandeechnique adoption take refreshing power nap floor yoga mat two books pillow quite alexander intended suits fine wellness,-32.9167,151.75,New South Wales,2021-12-15 19:39:21,1,one unexpected adoption take refreshing power nap floor yoga mat two pillow quite intended fine wellness,set()
19,19,1471068205728763905,@Aimee35990577 @arcfem There was no such thing as gender taught as part of evidence based medicine and still wasn't a decade ago I've discussed this with nurses doctors and pharmacists and in Australia this sort of treatment is off label as it's not TGA approved,thing gender taught pa evidence based medicine still wasnt decade ago ive discussed nurses doctors pharmacists australia treatment label tga approved,-41.4419,147.145,Tasmania,2021-12-15 21:42:46,0,thing gender taught pa evidence based medicine still wasnt decade ago treatment label,"{'@Aimee35990577', '@arcfem'}"
20,20,1471077847364108289,@Aimee35990577 @arcfem Medicine and science have nothing to say about gender There is no reason to teach it in medical or science faculties,medicine science nothing say gender reason teach medical science faculties,-41.4419,147.145,Tasmania,2021-12-15 22:21:04,0,medicine science nothing say gender reason teach medical science,"{'@Aimee35990577', '@arcfem'}"
21,21,1471237683989016576,"@MarkMcGowanMP If Omicron is as contagious as it seems and the corona demos continue as before, with tightly packed, roaring crowds without MNS, I am already wondering how long one would like to allow this minority to destroy the efforts of the majority.",omicron contagious seems corona demos continue tightly packed roaring crowds without mns already wondering long one would like allow minority destroy effos majority,-12.4381,130.8411,Northern Territory,2021-12-16 08:56:12,0,omicron contagious corona demos continue tightly roaring without already wondering long one would like allow minority destroy majority,{'@MarkMcGowanMP'}
22,22,1471239197478457345,"@eileenchongpoet If Omicron is as contagious as it seems and the corona demos continue as before, with tightly packed, roaring crowds without MNS, I am already wondering how long one would like to allow this minority to destroy the efforts of the majority society.",omicron contagious seems corona demos continue tightly packed roaring crowds without mns already wondering long one would like allow minority destroy effos majority society,-12.4381,130.8411,Northern Territory,2021-12-16 09:02:13,0,omicron contagious corona demos continue tightly roaring without already wondering long one would like allow minority destroy majority society,{'@eileenchongpoet'}
23,23,1471242450421223426,"@lavosaurus If Omicron is as contagious as it seems and the corona demos continue as before, with tightly packed, roaring crowds without MNS, I am already wondering how long one would like to allow this minority to destroy the efforts of the majority.",omicron contagious seems corona demos continue tightly packed roaring crowds without mns already wondering long one would like allow minority destroy effos majority,-12.4381,130.8411,Northern Territory,2021-12-16 09:15:09,0,omicron contagious corona demos continue tightly roaring without already wondering long one would like allow minority destroy majority,{'@lavosaurus'}
24,24,1471246209218072580,"@AndyMaherDFA If Omicron is as contagious as it seems and the corona demos continue as before, with tightly packed, roaring crowds without MNS, I am already wondering how long one would like to allow this minority to destroy the efforts of the majority.",omicron contagious seems corona demos continue tightly packed roaring crowds without mns already wondering long one would like allow minority destroy effos majority,-12.4381,130.8411,Northern Territory,2021-12-16 09:30:05,0,omicron contagious corona demos continue tightly roaring without already wondering long one would like allow minority destroy majority,{'@AndyMaherDFA'}
25,25,1471248867827929090,"@nicko_316 And I say, no thanks to Scott and his govt. LNP are notorious for taking money from areas that matters most - education, health care (including the medicare they are currently gutting), and environment.",say thanks scott govt lnp notorious taking money areas matters education health care including medicare currently gutting environment,-31.9522,115.8589,Western Australia,2021-12-16 09:40:39,1,say thanks notorious taking money education health care currently environment,{'@nicko_316'}
26,26,1471264155835371522,@ReportsDaNews @56blackcat Just checked...no medicine has racism listed as a side effect.. next excuse??,checkedno medicine racism listed side effect next excuse,-34.9289,138.6011,South Australia,2021-12-16 10:41:24,0,medicine racism listed side effect next excuse,"{'@ReportsDaNews', '@56blackcat'}"
27,27,1471297697407639554,"@Bluejenellen I agree that dental care should be included under Medicare, that is part of The Greens policy plan.",agree dental care included medicare pa greens policy plan,-31.9522,115.8589,Western Australia,2021-12-16 12:54:41,1,agree dental care included pa policy plan,{'@Bluejenellen'}
28,28,1471310084059774983,Love this from Liz @GCUCGLOBAL - “I would advocate for wellness focused amenities and investment in healthy buildings” @WELLcertified,love liz would advocate wellness focused amenities investment healthy buildings,-36.75,144.2667,Victoria,2021-12-16 13:43:54,1,love would advocate wellness investment healthy,"{'@GCUCGLOBAL', '@WELLcertified'}"
29,29,1471323488929546240,"""The word #vaccine &amp; its related forms will continue to be a central part of our discourse, beyond medicine &amp; science. It is firmly centred in current debates – over professional regulations, personal choice &amp; political affiliation, &amp; regarding school safety, global inequities..""",word vaccine amp related forms continue central pa discourse beyond medicine amp science firmly centred current debates professional regulations personal choice amp political affiliation amp regarding school safety global inequities,-31.9522,115.8589,Western Australia,2021-12-16 14:37:10,0,word vaccine related continue central pa discourse beyond medicine science firmly current professional personal choice political affiliation regarding school safety global,set()
30,30,1471386612529389571,"We calculated the impact of 'long COVID' as Australia opens up. Even without Omicron, we're worried  https://t.co/gZx1r9E208 via @ConversationEDU",calculated impact long covid australia opens even without omicron worried via,-16.9303,145.7703,Queensland,2021-12-16 18:48:00,0,calculated impact long covid even without omicron worried via,{'@ConversationEDU'}
31,31,1471462930445045765,@detranny Yes you're right It's just disfiguring I never thought I'd live in a world where this was acceptable Medicine has come so far in the last half century and now we are back in frontal lobotomy land,yes youre right disfiguring never thought id live world acceptable medicine come far last half century back frontal lobotomy land,-41.4419,147.145,Tasmania,2021-12-16 23:51:15,1,yes right never thought id live world acceptable medicine come far last half century back frontal lobotomy land,{'@detranny'}
32,32,1471484537129472000,@Bluejenellen So true limited dentists and limited veterinary Medicare costs everyone knows how it helps society and the economy long term. Problem being the dentistry and veterinary and private medical world donate big to politic so good luck us expendables getting looked aftered,true limited dentists limited veterinary medicare costs everyone knows helps society economy long term problem dentistry veterinary private medical world donate big politic good luck us expendables getting looked aftered,-19.2564,146.8183,Queensland,2021-12-17 01:17:07,1,true limited limited veterinary everyone society economy long term problem dentistry veterinary private medical world donate big politic good luck us getting,{'@Bluejenellen'}
33,33,1471588870047236096,@phreespeech @james_leeann @anthvera24 Oh we do understand about modern medicine that’s exactly the point!!!  https://t.co/6TKFxDMaht,oh understand modern medicine thats exactly point,-32.9167,151.75,New South Wales,2021-12-17 08:11:42,0,oh understand modern medicine thats exactly point,"{'@anthvera24', '@james_leeann', '@phreespeech'}"
34,34,1471593178486566915,Antiviral drugs are currently under provisional determination by the medicines watchdog. Here's what the experts say they can do for Australians and why they are critical as Omicron continues to spread.  https://t.co/moIlodT1SQ via @@SBSNews,antiviral drugs currently provisional determination medicines watchdog heres expes say australians critical omicron continues spread via,-34.9289,138.6011,South Australia,2021-12-17 08:28:49,0,antiviral currently provisional determination watchdog say critical omicron spread via,{'@SBSNews'}
35,35,1471600628786892800,"@RobertArnol @Tiddapage A friend in need is a friend indeed, a good chat is often the best medicine to set you back on track Cheers for a great day 👍",friend need friend indeed good chat often best medicine set back track cheers great day,-34.9289,138.6011,South Australia,2021-12-17 08:58:25,1,friend need friend indeed good chat often best medicine set back track great day,"{'@RobertArnol', '@Tiddapage'}"
36,36,1471653877837537284,"Also, why's my son been out of home for 2+ years but cannot get his own Medicare card without my name or his dad's on it??",also whys son home years cannot get medicare card without name dads,-27.5667,151.95,Queensland,2021-12-17 12:30:01,0,also son home cannot get card without name,set()
37,37,1471654172936192002,My nephew is raising money for mental health by running 4 miles every 4 hours for 48 hours.  He’s a bit fitter than me.   https://t.co/B8d9S1ENx8 #mentalhealth,nephew raising money mental health running miles every hours hours hes bit fitter mentalhealth,-16.9303,145.7703,Queensland,2021-12-17 12:31:11,0,nephew raising money mental health running every bit fitter,set()
38,38,1471681896564232195,"It's easy af to get this COVID bizzo sorted and U can make a shortcut as well.  If ur having trouble, call 132307 and they'll walk u thru it... Or drop into a Centrelink or Medicare office.  https://t.co/a3Wych0E5e",easy af get covid bizzo soed u make shocut well ur trouble call theyll walk u thru drop centrelink medicare office,-27.5667,151.95,Queensland,2021-12-17 14:21:21,0,easy get covid u make well ur trouble call theyll walk u drop office,set()
39,39,1471689496185872385,I was just asked by the staff to see my Vaccine status or I couldn’t get into my local pub .   Sucked in anti vaxxers🤣😂  https://t.co/Z8ykO73q1i,asked staff see vaccine status couldnt get local pub sucked anti vaxxers,-16.9303,145.7703,Queensland,2021-12-17 14:51:33,0,staff see vaccine status get local pub anti,set()
40,40,1471689829368926208,"I'm at Essential Oils &amp; Wellness with Fiona in California Gully, VIC  https://t.co/qCrz2w0G5z",im essential oils amp wellness fiona california gully vic,-36.75,144.2667,Victoria,2021-12-17 14:52:52,0,essential wellness gully,set()
41,41,1471700319633506304,"@urban_reverie @fictillius Of course, but not everyone who gets a high ATAR wants to do medicine or law either.",course everyone gets high atar wants medicine law either,-38.15,144.35,Victoria,2021-12-17 15:34:33,0,course everyone high medicine law either,"{'@urban_reverie', '@fictillius'}"
42,42,1471701908742041601,#Repost @unmute.today with @make_repost ・・・ Isn’t life one big hallmark movie? 😅 📸: @girlsthinkimfunny #mentalhealthisimportant #mentalhealthmemes #wellness #mentalhealth #christmas #hallmark  https://t.co/ZUULI1jezc,repost isnt life one big hallmark movie mentalhealthisimpoant mentalhealthmemes wellness mentalhealth christmas hallmark,-27.5667,151.95,Queensland,2021-12-17 15:40:52,0,repost life one big hallmark movie wellness hallmark,"{'@unmute', '@make_repost', '@girlsthinkimfunny'}"
43,43,1471721126040539136,@Returnpuff Medicare ---&gt; Google Pay ----&gt; shortcut from there,medicare gt google pay gt shocut,-27.5667,151.95,Queensland,2021-12-17 16:57:14,0,pay,{'@Returnpuff'}
44,44,1471746167092301831,@AnnastaciaMP @reblev This would be great if so many of us didn’t have problems linking Medicare to mygov. Why not let us link through our electronic health record?,would great many us didnt problems linking medicare mygov let us link electronic health record,-27.5667,151.95,Queensland,2021-12-17 18:36:44,1,would great many us didnt linking let us link electronic health record,"{'@AnnastaciaMP', '@reblev'}"
45,45,1471777441727188996,"The ultimate medicine is already here, just give a go, together we stop these annoying viruses!  https://t.co/ELorlhXY7B  https://t.co/MIBQaoHxgv",ultimate medicine already give go together stop annoying viruses,-32.9167,151.75,New South Wales,2021-12-17 20:41:01,0,ultimate medicine already give go together stop annoying,set()
46,46,1471790517172072451,"@Dylan19082 @ashpitkin @MikeCarlton01 Without doing that, most medicines would never get released",without medicines would never get released,-32.9167,151.75,New South Wales,2021-12-17 21:32:58,0,without would never get,"{'@Dylan19082', '@MikeCarlton01', '@ashpitkin'}"
47,47,1471793630780157953,"Embarrassing.   Medicine 101 - your loyalty is to the health of the patients, not to the health of the govt propaganda dept.  https://t.co/2e5aaI1Bt9",embarrassing medicine loyalty health patients health govt propaganda dept,-32.9167,151.75,New South Wales,2021-12-17 21:45:20,0,embarrassing medicine loyalty health health propaganda,set()
48,48,1471801458102177796,"@DrEricLevi General Levi, Remember the advice of the ancient Chinese military tactician Sun Tzu. There are a limited number of fronts upon which you can wage war. Medicine, health economics, politics, society? You have a finger in all pies. Please look after yourself. We need you…",general levi remember advice ancient chinese military tactician sun tzu limited number fronts upon wage war medicine health economics politics society finger pies please look need,-27.6167,152.7667,Queensland,2021-12-17 22:16:27,0,general remember advice ancient military tactician sun limited number upon wage war medicine health economics politics society finger please look need,{'@DrEricLevi'}
49,49,1471814077886328832,"@GregDore2 Britain has been reported as having the highest COVID19 related child admissions to hospital since the pandemic began. With &gt;12 still only 1 dose and &gt;5 untaxed, how much risk should we be taking with their health. Surely masks &amp; QR check in should not have been dropped.",britain repoed highest related child admissions hospital since pandemic began gtstill dose gtuntaxed much risk taking health surely masks amp qr check dropped,-16.9303,145.7703,Queensland,2021-12-17 23:06:35,0,highest related child hospital since pandemic dose much risk taking health surely check,{'@GregDore2'}
50,50,1471818994340417538,@Laura_Greaves Ditto! Not law or medicine but deferred to do a cadetship and never went at all.,ditto law medicine deferred cadetship never went,-31.9522,115.8589,Western Australia,2021-12-17 23:26:07,0,ditto law medicine deferred cadetship never went,{'@Laura_Greaves'}
51,51,1471823429774970880,"@beamailuc Holy 💩, go rest and get some good medicine will you . Need to be fighting fit for Christmas Day .",holy go rest get good medicine need fighting fit christmas day,-31.9522,115.8589,Western Australia,2021-12-17 23:43:45,0,holy go rest get good medicine need fighting fit day,{'@beamailuc'}
52,52,1471950275938119680,Never thought of it this way but yes. I’m tired. I’m triple vaxxed and will continue to get boosted when possible but the continuing battle of dealing with this COVID shite as well as the fun academic challenges of clinical medicine has definitely had an effect.,never thought way yes im tired im triple vaxxed continue get boosted possible continuing battle dealing covid shite well fun academic challenges clinical medicine definitely effect,-38.15,144.35,Victoria,2021-12-18 08:07:47,0,never thought way yes tired triple continue get possible battle dealing covid well fun academic clinical medicine definitely effect,set()
53,53,1471956072252391428,Such wonderful news. I’m looking forward to the arrival of our current and next intake of #BMedSc(Hons) @Monash_FMNHS students from our partner in medicine @univ_indonesia,wonderful news im looking forward arrival current next intake bmedschons students paner medicine,-38.15,144.35,Victoria,2021-12-18 08:30:49,1,wonderful news looking forward arrival current next intake medicine,"{'@Monash_FMNHS', '@univ_indonesia'}"
54,54,1472023925391462400,"@FeathersMcGee My problem was Medicare didn’t have enough of my details for the apps to match. Call them, they’re really helpful.",problem medicare didnt enough details apps match call theyre really helpful,-27.5667,151.95,Queensland,2021-12-18 13:00:27,0,problem didnt enough match call theyre really helpful,{'@FeathersMcGee'}
55,55,1472032342663335942,"Dear Queenslanders My health advice is to spend time in pubs and restaurants as much as possible. Everyone in here is 100% vaccinated. ✅  Also, big shoutout to the bloke protesting near the Cairns lagoon who coughed/spat in my wife’s face. What a fucking grub.",dear queenslanders health advice spend time pubs restaurants much possible everyone vaccinated also big shoutout bloke protesting near cairns lagoon coughedspat wifes face fucking grub,-16.9303,145.7703,Queensland,2021-12-18 13:33:54,0,dear health advice spend time much possible everyone also big bloke near lagoon face grub,set()
56,56,1472032838027415552,@sophieelsworth Serious question why are public health measures “insanity”.  Are you also advocating untreated sewage discharge in the streets and un-chlorinated  drinking water.,serious question public health measures insanity also advocating untreated sewage discharge streets unchlorinated drinking water,-16.9303,145.7703,Queensland,2021-12-18 13:35:52,0,serious question public health insanity also untreated sewage discharge streets drinking water,{'@sophieelsworth'}
57,57,1472036262458494979,"@missnadjat @kcarruthers @Rdonair One day soon someone will find me nursing a snakebite wound and wailing ""But the turkey! The tuu-uurkeeey!"" 😭  I'll then have a nice overnight stay in the mental health unit.",one day soon someone find nursing snakebite wound wailing turkey tuuuurkeeey ill nice overnight stay mental health unit,-16.9303,145.7703,Queensland,2021-12-18 13:49:28,0,one day soon someone find nursing snakebite wound turkey ill nice overnight stay mental health unit,"{'@kcarruthers', '@missnadjat', '@Rdonair'}"
58,58,1472043299934461958,"We are open for appointments👏   We also have gift 🎁 vouchers  #Crystal Healing   #Reiki  Lifestyle &amp; Wellness  0418 297 167 #holistichealing #crystalhealing #reikihealing #open #christmasweek @ Central Coast, NSW  https://t.co/qY8sASwl4m",open appointments also gift vouchers crystal healing reiki lifestyle amp wellness holistichealing crystalhealing reikihealing open christmasweek central coast nsw,-35.2931,149.1269,Australian Capital Territory,2021-12-18 14:17:26,1,open also gift crystal healing wellness open central coast,set()
59,59,1472043941465714689,We are open for appointments👏   Christmas 🎄 Week  We also have gift 🎁 vouchers  #Crystal Healing   #Reiki  Lifestyle &amp; Wellness  0418 297 167  https://t.co/8WdZTnBYsB,open appointments christmas week also gift vouchers crystal healing reiki lifestyle amp wellness,-35.2931,149.1269,Australian Capital Territory,2021-12-18 14:19:59,1,open week also gift crystal healing wellness,set()
60,60,1472047401674231810,@creativecatjk @AtheistsRead Seeing trans child isn't even supported by science or medicine trans is no better than any other religious cult!,seeing trans child isnt even suppoed science medicine trans better religious cult,-41.4419,147.145,Tasmania,2021-12-18 14:33:44,0,seeing child even science medicine better religious cult,"{'@creativecatjk', '@AtheistsRead'}"
61,61,1472054711431827458,@riccairns @criprights Must be so hard! NSW Health need to do something fast and the Commonwealth!!!!,must hard nsw health need something fast commonwealth,-12.4381,130.8411,Northern Territory,2021-12-18 15:02:47,0,must hard health need something fast commonwealth,"{'@riccairns', '@criprights'}"
62,62,1472062737186385920,"@Darren40819109 @SkyNewsAust That's for the entire country, not just those in medicine",thats entire country medicine,-32.9167,151.75,New South Wales,2021-12-18 15:34:40,0,thats entire country medicine,"{'@Darren40819109', '@SkyNewsAust'}"
63,63,1472064315062509568,@eva_kurilova There is more to it than that WPATH is being run by trans people or activists who have no interest in evidence based medicine just getting as many young people on cross sex hormones as possible as fast as possible (like the whole thing has a limited lifespan),wpath run trans people activists interest evidence based medicine getting many young people cross sex hormones possible fast possible like whole thing limited lifespan,-41.4419,147.145,Tasmania,2021-12-18 15:40:57,1,run people interest evidence based medicine getting many young people cross sex possible fast possible like whole thing limited,{'@eva_kurilova'}
64,64,1472095175614689280,@CaseyBriggs Health policy driven by expenditure reduction targets,health policy driven expenditure reduction targets,-16.9303,145.7703,Queensland,2021-12-18 17:43:34,0,health policy driven expenditure reduction,{'@CaseyBriggs'}
65,65,1472116915246039040,"@TylerGreen927 Two facts: 1. One of the people marching intentionally coughed/spat in my wife’s face.  2. @PaulineHansonOz is on your side, but none of the health experts are.  Are you comfortable with either of these facts?",two facts one people marching intentionally coughedspat wifes face side none health expes comfoable either facts,-16.9303,145.7703,Queensland,2021-12-18 19:09:57,0,two one people intentionally face side none health either,"{'@PaulineHansonOz', '@TylerGreen927'}"
66,66,1472146051570176001,"@TylerGreen927 @PaulineHansonOz We agree that it’s assault. Unfortunately, we couldn’t confidently identify the person to the police. Don’t forget: he is on your side.   And you’re right: about 1% of of health professionals disagree with the science that the other 99% of health professionals follow.",agree assault unfounately couldnt confidently identify person police dont forget side youre right health professionals disagree science health professionals follow,-16.9303,145.7703,Queensland,2021-12-18 21:05:44,0,agree assault confidently identify person police dont forget side right health disagree science health follow,"{'@PaulineHansonOz', '@TylerGreen927'}"
67,67,1472149088560836608,@TheKurtoWEBBY @normanswan He graduated in medicine University of Aberdeen before you were born.,graduated medicine university aberdeen born,-32.9167,151.75,New South Wales,2021-12-18 21:17:48,0,graduated medicine university born,"{'@normanswan', '@TheKurtoWEBBY'}"
68,68,1472196275537780736,Saddest thing tonight seeing an Aboriginal elder denied entry to a venue to do Welcome to Country because the proof of vaccination certificate she had was not the one through Medicare she was asked log into my gov - she does not own a smartphone. She is triple vaxed #covid19qld,saddest thing tonight seeing aboriginal elder denied entry venue welcome country proof vaccination ceificate one medicare asked log gov smaphone triple vaxed,-27.5667,151.95,Queensland,2021-12-19 00:25:18,0,thing tonight seeing aboriginal elder entry venue welcome country proof vaccination one log triple,set()
69,69,1472268813668270084,"Ppl have grown so tired of it. Worrying about their health, &amp; being  used as a political football to boot.",ppl grown tired worrying health amp used political football boot,-16.9303,145.7703,Queensland,2021-12-19 05:13:33,0,grown tired worrying health used political football boot,set()
70,70,1472312163075198982,@AmandaMGoetz Omicron variant as well? We are not seeing many hospitalisations over this way from it… may just have to let it run wild,omicron variant well seeing many hospitalisations way may let run wild,-16.9303,145.7703,Queensland,2021-12-19 08:05:48,0,omicron variant well seeing many way may let run wild,{'@AmandaMGoetz'}
71,71,1472336821275164676,"@VitalSparkCapt @WornhamHelen @ScottMorrisonMP @Auspol @ABCthedrum @theprojecttv The Slogan bogan strikes again, does Morrison think we wouldn't notice no vaccines 🤔",slogan bogan strikes morrison think wouldnt notice vaccines,-19.2564,146.8183,Queensland,2021-12-19 09:43:47,0,slogan bogan think wouldnt notice,"{'@ABCthedrum', '@Auspol', '@VitalSparkCapt', '@WornhamHelen', '@ScottMorrisonMP', '@theprojecttv'}"
72,72,1472344717857751041,"@CrNicJ They do accept hardcopy but her vaccination details which she was givem by Aboriginal Medical Service is not the certificate from the one from medicare - so despite the her name, dob and the vaccines she recieved this was not enough to prove her vaccination and refused entry!  https://t.co/CABnKt6Gah",accept hardcopy vaccination details givem aboriginal medical service ceificate one medicare despite name dob vaccines recieved enough prove vaccination refused entry,-27.5667,151.95,Queensland,2021-12-19 10:15:10,0,accept vaccination aboriginal medical service one despite name dob enough prove vaccination entry,{'@CrNicJ'}
73,73,1472391795145207815,"@AnnastaciaMP A pity this is not working  not just me, keeps saying Medicare is not linked,  it is.... Then you wait for hours for Centerlink to answer and help.",pity working keeps saying medicare linked wait hours centerlink answer help,-27.5667,151.95,Queensland,2021-12-19 13:22:14,0,pity working saying linked wait answer help,{'@AnnastaciaMP'}
